variety,image_url,breeder,length,sex,age,price
Doitsu Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Shinoda%20Doitsu%20Showa%2026cm%20tosai.png,Shinoda,26cm,Unknown,Tosai (1y),Unknown
Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Isa%20Showa%20Tosai%2026cm.png,Isa,26cm,Unknown,Tosai (1y),Unknown
Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Isa%20Showa%20Tosai%2027cm.png,Isa,27cm,Unknown,Tosai (1y),Unknown
Ginrin Kohaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Torazo%20Ginrin%20Kohaku%2029cm%20Tosai.png,Torazo,29cm,Unknown,Tosai (1y),Unknown
Ginrin Kohaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Torazo%20Ginrin%20Kohaku%20Tosai%2022cm.png,Torazo,22cm,Unknown,Tosai (1y),Unknown
Karashigoi,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Marudo%20Karashigoi%20Tosai%2022cm.png,Marudo,22cm,Unknown,Tosai (1y),$25 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Marudo%20Shiro%20Utsuri%20Tosai%2032cm.png,Marudo,32cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Marudo%20Shiro%20Utsuri%20Tosai%20.png,Marudo,25cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Marudo%20Shiro%20Utsuri%20%20tosai%2021cm.png,Marudo,21cm,Female,Tosai (1y),$50 
Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/NND%20Showa%2022cm%20tosai.png,NND,22cm,Unknown,Tosai (1y),Unknown
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Marudo%20Shiro%20Utsuri%20%2030cm.png,Marudo,30cm,Unknown,Tosai (1y),$50 
Yamabuki,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/NND%20Yamabuki%20Tosai%2018cm.png,NND,18cm,Unknown,Tosai (1y),Unknown
Dark Ochiba,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Shinoda%20Dark%20Ochiba%2023cm%20tosai.png,Shinoda,23cm,Unknown,Tosai (1y),Unknown
Ginrin Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Shinoda%20Ginrin%20Showa%20Tosai%2031cm.png,Shinoda,31cm,Unknown,Tosai (1y),$50 
Ginrin Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Shinoda%20Ginrin%20Showa%20tosai%2021cm.png,Isa,21cm,Unknown,Tosai (1y),Unknown
Hi Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Shinoda%20Hi%20Utsuri%2033cm.png,Shinoda,33cm,Unknown,Tosai (1y),Unknown
Hi Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Shinoda%20Hi%20Utsuri%20Tosai%2028cm.png,Shinoda,28cm,Unknown,Tosai (1y),$50 
Ginrin Kohaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Torazo%20Ginrin%20Kohaku%2018cm.png,Torazo,18cm,Unknown,Tosai (1y),$50 
Ginrin Kohaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Torazo%20GinRin%20Kohaku%20Tosai%2017cm.png,Torazo,17cm,Unknown,Tosai (1y),$50 
Ginrin Kohaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Torazo%20Ginrin%20Kohaku%20Tosai%2026cm%20.png,Torazo,26cm,Unknown,Tosai (1y),Unknown
Ginrin Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Shinoda%20Ginrin%20Showa%20tosai%2033cm.png,Shinoda,33cm,Unknown,Tosai (1y),Unknown
Doitsu Kohaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Shinoda%20Doitsu%20Kohaku%20Tosai%2031.png,Shinoda,31cm,Unknown,Tosai (1y),Unknown
Kohaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Torazo%20Kohaku%20Tosai%2021cm.png,Torazo,21cm,Unknown,Tosai (1y),$50 
Kohaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Torazo%20Kohaku%2023cm%20tosai%20.png,Torazo,23cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Marudo%20Shiro%20Utsuri%20Tosai%2022cm.png,Marudo,22cm,Unknown,Tosai (1y),$50 
Kohaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Torazo%20Kohaku%20Tosai%2021cm%202.png,Torazo,21cm,Unknown,Tosai (1y),$50 
Hi Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Shinoda%20Hi%20Utsuri%2033cm%20Nisai%20png.png,Shinoda,33cm,Unknown,Tosai (1y),$50 
Doitsu Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Hiroi%20Doitsu%20Showa%2034cm%20Nisai.png,Hiroi,34cm,Unknown,Nisai (2y),Unknown
Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Isa%20Showa%20Nisai%2036cm.png,Isa,36cm,Unknown,Nisai (2y),Unknown
Doitsu Sanke,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Hiroi%20Doitsu%20Sanke%2040cm%20Nisai.png,Hiroi,40cm,Unknown,Nisai (2y),Unknown
Ginrin Matsukawabake,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Iwashita%20Ginrin%20Matsukawabake%2034cm%20Nisai.png,Iwashita,34cm,Unknown,Nisai (2y),$50 
Ai Goromo,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Izumiya%20Ai%20Goromo%2033cm%20Nisai.png,Izumiya,33cm,Unknown,Nisai (2y),$50 
Kohaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Izumiya%20Kohaku%20nisai%2035cm.png,Izumiya,35cm,Unknown,Nisai (2y),$50 
Sanke,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Izumiya%20Sanke%2031cm%20Nisai.png,Izumiya,31cm,Unknown,Nisai (2y),$50 
Sanke,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Izumiya%20Sanke%2035cm%20Nisai.png,Izumiya,35cm,Unknown,Nisai (2y),$50 
Sanke,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Izumiya%20Sanke%20Nisai%2033cm.png,Izumiya,33cm,Unknown,Nisai (2y),Unknown
Ginrin Goshiki,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Kanno%20Ginrin%20Goshiki%20Nisai%2048cm.png,Kanno,48cm,Female,Nisai (2y),Unknown
Tancho Goshiki,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Kanno%20Tancho%20Goshiki%20Nisai%2039cm.png,Kanno,39cm,Unknown,Nisai (2y),Unknown
Bekko,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Marudo%20Bekko%20Nisai%2027cm.png,Marudo,27cm,Unknown,Nisai (2y),$50 
Ochiba,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Marudo%20Ochiba%20Nisai%2044cm.png,Marudo,44cm,Unknown,Nisai (2y),Unknown
Goshiki,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Kanno%20Goshiki%20Nisai%2037cm.png,Kanno,37cm,Unknown,Nisai (2y),Unknown
Doitsu Aragoke Ginrin Chagoi,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Marudo%20Doitsu%20Aragoke%20Ginrin%20Chagoi%20Nisai%2042cm.png,Marudo,42cm,Unknown,Nisai (2y),$50 
Ginrin Ochiba,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Marudo%20Ginrin%20Ochiba%20Nisai%2044cm.png,Marudo,44cm,Unknown,Nisai (2y),$50 
Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Izumiya%20Showa%20nisai%2040cm.png,Sekiguchi,40cm,Unknown,Nisai (2y),Unknown
Soragoi,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Marudo%20Soragoi%20Nisai%2040cm.png,Marudo,40cm,Unknown,Nisai (2y),Unknown
Asagi,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Maruhiro%20Asagi%20Nisai%2038cm.png,Maruhiro,38cm,Unknown,Nisai (2y),Unknown
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/NND%20Shiro%20Utsuri%2046cm%20Nisai.png,NND,46cm,Unknown,Nisai (2y),Unknown
Budo Goromo,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Ootsuka%20Budo%20Goromo%20Nisai.png,Ootsuka,28cm,Unknown,Nisai (2y),$50 
Hi Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Shinoda%20Hi%20Utsuri%20Nisai%2030cm.png,Shinoda,30cm,Unknown,Nisai (2y),$50 
Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Izumiya%20Showa%20Nisai%2028cm.png,Izumiya,28cm,Unknown,Nisai (2y),Unknown
Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Izumiya%20Showa%20Nisai%2042cm.png,Marudo,42cm,Unknown,Nisai (2y),$50 
Ginrin Aragoke Chagoi,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Marudo%20Ginrin%20Aragoke%20Chagoi.png,Marudo,33cm,Unknown,Nisai (2y),Unknown
Sanke,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Izumiya%20Sanke%20sansai%2047cm.png,Izumiya,47cm,Unknown,Sansai (3y),$50 
Red Karashigoi,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Marudo%20Karashigoi%20Sansai%2060cm.png,Marusei,60cm,Unknown,Sansai (3y),$200 
Magoi,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Hirashin%20Magoi%20Sansai%2049cm.png,Hirashin,49cm,Unknown,Sansai (3y),$25 
Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Sekiguchi%20Showa%20Sansai%2058cm.png,Sekiguchi,58cm,Female,Sansai (3y),Unknown
Magoi,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/3/photos/Hirashin%20Magoi%20Sansai%2048cm.png,Hirashin,48cm,Unknown,Sansai (3y),Unknown
Kohaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Torazo%20Kohaku%2015cm%20Tosai.png,Torazo,15cm,Unknown,Tosai (1y),Unknown
Ginrin Kohaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Torazo%20Ginrin%20Kohaku%2015cm%20Tosai.png,Torazo,15cm,Unknown,Tosai (1y),Unknown
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2018cm.png,Omosako,18cm,Unknown,Tosai (1y),$50 
Ginrin Kohaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Torazo%20Ginrin%20Kohaku%2018cm%20Tosai.png,Torazo,18cm,Unknown,Tosai (1y),Unknown
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2019cm.png,Omosako,19cm,Unknown,Tosai (1y),$50 
Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/ISA%20Showa%2019cm%20Tosai.png,Isa,19cm,Unknown,Tosai (1y),$50 
Kohaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Torazo%20Kohaku%2020cm%20Tosai%20,Torazo,20cm,Unknown,Tosai (1y),Unknown
Tancho Sanke,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Torazo%20Tancho%20Sanke%2020cm%20Tosai.png,Torazo,20cm,Unknown,Tosai (1y),Unknown
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2021cm%202.png,Omosako,21cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2021cm%203.png,Omosako,21cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2021cm.png,Omosako,21cm,Unknown,Tosai (1y),$50 
Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/ISA%20Showa%2021cm%20Tosai.png,Isa,21cm,Unknown,Tosai (1y),Unknown
Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/ISA%20Showa%2022cm%20Tosai.png,Isa,22cm,Unknown,Tosai (1y),$50 
Yamabuki,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/NND%20Yamibuki%20Tosai%2022cm%20.png,NND,22cm,Unknown,Tosai (1y),Unknown
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2022cm%203.png,Omosako,22cm,Unknown,Tosai (1y),Unknown
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2022cm%205.png,Omosako,22cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2022cm%206.png,Omosako,22cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2022cm%204.png,Omosako,22cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2022cm%207.png,Omosako,22cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2022cm.png,Omosako,22cm,Unknown,Tosai (1y),$50 
Yellow Monkey,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Yellow_Monkey_22cm_Tosai.png,Dainichi,22cm,Unknown,Tosai (1y),Unknown
Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/ISA%20Showa%2023cm%20Tosai%20,Isa,23cm,Unknown,Tosai (1y),Unknown
Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/ISA%20Showa%2023cm%20Tosai.png,Isa,23cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2023cm%202.png,Omosako,23cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2023cm.png,Omosako,23cm,Unknown,Tosai (1y),Unknown
Yellow Monkey,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Dainichi%20Ginrin%20Chagoi%2023cm%20Tosai.png,Dainichi,23cm,Unknown,Tosai (1y),Unknown
Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/ISA%20Showa%2024cm%20Tosai.png,Isa,24cm,Unknown,Tosai (1y),Unknown
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2024cm%203.png,Omosako,24cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2024cm%204.png,Omosako,24cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2024cm.png,Omosako,24cm,Unknown,Tosai (1y),$50 
Kujaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Kujaku_24cm_Tosai.png,Dainichi,24cm,Unknown,Tosai (1y),Unknown
Ginrin Kohaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Torazo%20Ginrin%20Kohaku%20Tosai%2025cm.png,Torazo,25cm,Unknown,Tosai (1y),Unknown
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2025cm%202.png,Omosako,25cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2025cm.png,Omosako,25cm,Unknown,Tosai (1y),$50 
Yellow Monkey,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Dainichi%20Gin%20Rin%20Chagoi%2025cm%20Tosai.png,Dainichi,25cm,Unknown,Tosai (1y),Unknown
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2026cm%202.png,Omosako,26cm,Unknown,Tosai (1y),$50 
Sanke,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Izumiya%20Showa%2026cm%20Nisai.png,Izumiya,26cm,Unknown,Nisai (2y),Unknown
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2026cm.png,Omosako,26cm,Unknown,Tosai (1y),$50 
